post_id,platform,post_type,post_time,caption,hashtags,likes,comments,shares,caption_length,num_hashtags,post_hour,post_day,sentiment_score,user name ,followers
1,Facebook,image,2023-08-17 14:45,Best day ever! 🎉,#Social,2121,474,628,16,1,14,Thursday,positive,ccapenor0,2676
2,Facebook,carousel,2023-05-14 00:45,Here's a quick update.,"#Family, #Community, #Events",3660,432,694,22,3,0,Sunday,neutral,slamprecht1,47053
3,Instagram,poll,2023-02-21 16:15,Not my best day. 😞,"#Beauty, #Fashion, #InstaDaily",4955,408,688,18,3,16,Tuesday,negative,khalt2,16815
4,Twitter,image,2023-11-16 00:45,Disappointed but moving on.,"#Trending, #Tech, #Entertainment",1183,90,187,27,3,0,Thursday,negative,asteffans3,45751
5,Twitter,video,2023-05-23 00:30,Exciting news! 🚀,"#News, #Politics, #Entertainment",3499,247,286,16,3,0,Tuesday,positive,mchrystal4,4074
6,Instagram,carousel,2023-05-05 20:00,"New post, check it out!",#Photography,256,186,211,23,1,20,Friday,neutral,whalifax5,35592
7,Instagram,image,2023-02-26 11:45,Loving this new vibe! 😍,#Foodie,1982,30,906,23,1,11,Sunday,positive,lwebling6,39586
8,Instagram,text,2023-10-28 19:30,"New post, check it out!",#Fashion,1274,45,216,23,1,19,Saturday,neutral,eunsworth7,32409
9,Facebook,video,2023-05-02 06:15,Just another day.,"#Friends, #Family, #Events",317,249,221,17,3,6,Tuesday,neutral,edougan8,11078
10,Twitter,carousel,2023-05-11 11:00,Here's a quick update.,"#News, #Entertainment, #Tech",1878,225,438,22,3,11,Thursday,neutral,jpau9,41702
11,Twitter,text,2023-12-08 02:15,Feeling down today.,"#Tech, #Trending, #Memes",1446,44,52,19,3,2,Friday,negative,ijacobovitcha,17554
12,Twitter,video,2023-06-15 03:15,Amazing experience! 🌟,#Politics,304,42,89,21,1,3,Thursday,positive,paharonib,39062
13,Facebook,carousel,2023-11-11 15:45,Not my best day. 😞,"#Marketing, #Social",45,78,375,18,2,15,Saturday,negative,nferrarottic,16036
14,Twitter,text,2023-09-30 10:30,Exciting news! 🚀,#Politics,1333,144,123,16,1,10,Saturday,positive,jfallsd,12277
15,Facebook,carousel,2023-01-09 20:00,Best day ever! 🎉,"#Friends, #Social, #Marketing",889,314,262,16,3,20,Monday,positive,gsturzakere,32931
16,Twitter,image,2023-02-10 13:00,What do you think?,"#Entertainment, #Tech",2348,154,18,18,2,13,Friday,neutral,gmassowf,2763
17,Instagram,poll,2023-07-05 05:15,Best day ever! 🎉,#Photography,2872,10,736,16,1,5,Wednesday,positive,mbenoistg,28370
18,Twitter,text,2023-07-23 05:45,"New post, check it out!","#Entertainment, #Politics",512,123,338,23,2,5,Sunday,neutral,ssidworthh,45112
19,Twitter,text,2023-11-20 02:00,Amazing experience! 🌟,#Tech,2013,122,183,21,1,2,Monday,positive,dpettipheri,16932
20,Facebook,image,2023-02-02 16:00,Best day ever! 🎉,"#Friends, #Events, #Family",455,86,79,16,3,16,Thursday,positive,rwicherj,41408
21,Twitter,poll,2023-05-02 06:15,"New post, check it out!","#Memes, #News, #Sports",559,136,55,23,3,6,Tuesday,neutral,pgaulek,3548
22,Twitter,carousel,2023-01-30 13:30,Best day ever! 🎉,"#Politics, #Entertainment, #Sports",1961,44,439,16,3,13,Monday,positive,cbrydenl,9506
23,Twitter,text,2023-10-02 12:15,Exciting news! 🚀,"#Tech, #Trending, #Politics",332,109,348,16,3,12,Monday,positive,enormanvillm,28213
24,Instagram,carousel,2023-01-01 20:00,Exciting news! 🚀,"#Foodie, #InstaDaily",5000,80,399,16,2,20,Sunday,positive,paharonin,7002
25,Twitter,poll,2023-05-17 00:15,Amazing experience! 🌟,"#Entertainment, #Tech",898,130,480,21,2,0,Wednesday,positive,sslorao,8323
26,Facebook,carousel,2023-10-05 06:30,Disappointed but moving on.,#Social,1992,70,515,27,1,6,Thursday,negative,rsowleyp,12272
27,Instagram,text,2023-10-06 10:00,Best day ever! 🎉,#Fashion,3161,162,137,16,1,10,Friday,positive,mgallopq,45562
28,Facebook,poll,2023-03-01 08:00,Just another day.,"#Events, #Community, #Friends",2083,500,388,17,3,8,Wednesday,neutral,cmcindrewr,2707
